target_term_id  target_label  organism  target_symbol target_gene_name  target_class  url_no  is_current  date_created  created_by
Q99856  ARID3A 	Human 	null 	ARID3A 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q64705 	USF2 	Mouse 	null 	Usf2 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
O96028 	WHSC1 	Human 	null 	WHSC1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q96S55 	WRNIP1 	Human 	null 	WRNIP1 	DNARep 	null 	TRUE 	30-SEP-2012	ENCODE2
Q13426 	XRCC4 	Human 	null 	XRCC4 	DNARep 	null 	TRUE 	30-SEP-2012	ENCODE2
P25490 	YY1 	Human 	null 	YY1 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q86T24 	ZBTB33 	Human 	null 	ZBTB33 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
O95365 	ZBTB7A 	Human 	null 	ZBTB7A 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
O75152 	ZC3H11A 	Human 	null 	ZC3H11A 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q6NZF1 	ZC3H11A 	Mouse 	null 	Zc3h11a 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P37275 	ZEB1 	Human 	null 	ZEB1 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P17029 	ZKSCAN1 	Human 	null 	ZKSCAN1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q8BGS3 	ZKSCAN1 	Mouse 	null 	Zkscan1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q9ULJ6 	ZMIZ1 	Human 	null 	ZMIZ1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q6P1E1 	ZMIZ1 	Mouse 	null 	Zmiz1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P52747 	ZNF143 	Human 	null 	ZNF143 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
O75362 	ZNF217 	Human 	null 	ZNF217 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
O14978 	ZNF263 	Human 	null 	ZNF263 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q96GC6 	ZNF274 	Human 	null 	ZNF274 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q8TF68 	ZNF384 	Human 	null 	ZNF384 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
E9Q1A5 	ZNF384 	Mouse 	null 	Zfp384 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q8IYH5 	ZZZ3 	Human 	null 	ZZZ3 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
O14867 	eGFP-BACH1 	Human 	null 	BACH1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P24864 	eGFP-CCNE1 	Human 	null 	CCNE1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P46527 	eGFP-CDKN1B 	Human 	null 	CDKN1B 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q01094 	eGFP-E2F1 	Human 	null 	E2F1 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P32519 	eGFP-ELF1 	Human 	null 	ELF1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P03372 	eGFP-ESR1 	Human 	null 	ESR1 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P01100 	eGFP-FOS 	Human 	null 	FOS 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P23769 	eGFP-GATA2 	Human 	null 	GATA2 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q9BY41 	eGFP-HDAC8 	Human 	null 	HDAC8 	HISase 	null 	TRUE 	30-SEP-2012	ENCODE2
P09429 	eGFP-HMGB1 	Human 	null 	HMGB1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q12905 	eGFP-ILF2 	Human 	null 	ILF2 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P17275 	eGFP-JUNB 	Human 	null 	JUNB 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P17535 	eGFP-JUND 	Human 	null 	JUND 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q8IZD2 	eGFP-MLL5 	Human 	null 	MLL5 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
O75376 	eGFP-NCOR1 	Human 	null 	NCOR1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q12906 	eGFP-NF90 	Human 	null 	ILF3 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P22736 	eGFP-NR4A1 	Human 	null 	NR4A1 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P28370 	eGFP-SMARCA1 	Human 	null 	SMARCA1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P51531 	eGFP-SMARCA2 	Human 	null 	SMARCA2 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P42224 	eGFP-STAT1 	Human 	null 	STAT1 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
