1	human	BU	Orchid	None	\N	wgEncodeEH000001	2011-04-20 09:41:32
881	human	HudsonAlpha	MethylArray	GM12891	labVersion=Methyl27	wgEncodeEH000881	2012-01-31 14:11:30
882	human	HudsonAlpha	MethylArray	GM12892	labVersion=Methyl27	wgEncodeEH000882	2012-01-31 14:11:30
883	human	HudsonAlpha	MethylArray	H1-hESC	labVersion=Methyl27	wgEncodeEH000883	2012-01-31 14:11:30
884	human	HudsonAlpha	MethylArray	HAEpiC	labVersion=Methyl27	wgEncodeEH000884	2012-01-31 14:11:30
885	human	HudsonAlpha	MethylArray	HCF	labVersion=Methyl27	wgEncodeEH000885	2012-01-31 14:11:31
886	human	HudsonAlpha	MethylArray	HCM	labVersion=Methyl27	wgEncodeEH000886	2012-01-31 14:11:31
887	human	HudsonAlpha	MethylArray	HCPEpiC	labVersion=Methyl27	wgEncodeEH000887	2012-01-31 14:11:31
888	human	HudsonAlpha	MethylArray	HEEpiC	labVersion=Methyl27	wgEncodeEH000888	2012-01-31 14:11:31
889	human	HudsonAlpha	MethylArray	HEK293	labVersion=Methyl27	wgEncodeEH000889	2012-01-31 14:11:31
890	human	HudsonAlpha	MethylArray	HIPEpiC	labVersion=Methyl27	wgEncodeEH000890	2012-01-31 14:11:31
891	human	HudsonAlpha	MethylArray	HMEC	labVersion=Methyl27	wgEncodeEH000891	2012-01-31 14:11:31
892	human	HudsonAlpha	MethylArray	HNPCEpiC	labVersion=Methyl27	wgEncodeEH000892	2012-01-31 14:11:31
893	human	HudsonAlpha	MethylArray	HPAEpiC	labVersion=Methyl27	wgEncodeEH000893	2012-01-31 14:11:31
894	human	HudsonAlpha	MethylArray	HRCEpiC	labVersion=Methyl27	wgEncodeEH000894	2012-01-31 14:11:31
895	human	HudsonAlpha	MethylArray	HRE	labVersion=Methyl27	wgEncodeEH000895	2012-01-31 14:11:31
896	human	HudsonAlpha	MethylArray	HRPEpiC	labVersion=Methyl27	wgEncodeEH000896	2012-01-31 14:11:31
897	human	HudsonAlpha	MethylArray	IMR90	labVersion=Methyl27	wgEncodeEH000897	2012-01-31 14:11:31
898	human	HudsonAlpha	MethylArray	Jurkat	labVersion=Methyl27	wgEncodeEH000898	2012-01-31 14:11:31
899	human	HudsonAlpha	MethylArray	MCF-7	labVersion=Methyl27	wgEncodeEH000899	2012-01-31 14:11:31
900	human	HudsonAlpha	MethylArray	NB4	labVersion=Methyl27	wgEncodeEH000900	2012-01-31 14:11:31
901	human	HudsonAlpha	MethylArray	NH-A	labVersion=Methyl27	wgEncodeEH000901	2012-01-31 14:11:31
902	human	HudsonAlpha	MethylArray	NHBE	labVersion=Methyl27	wgEncodeEH000902	2012-01-31 14:11:31
903	human	HudsonAlpha	MethylArray	NHDF-neo	labVersion=Methyl27	wgEncodeEH000903	2012-01-31 14:11:31
904	human	HudsonAlpha	MethylArray	RPTEC	labVersion=Methyl27	wgEncodeEH000904	2012-01-31 14:11:31
905	human	HudsonAlpha	MethylArray	SAEC	labVersion=Methyl27	wgEncodeEH000905	2012-01-31 14:11:31
906	human	HudsonAlpha	MethylArray	SK-N-SH_RA	labVersion=Methyl27	wgEncodeEH000906	2012-01-31 14:11:31
907	human	HudsonAlpha	MethylArray	SKMC	labVersion=Methyl27	wgEncodeEH000907	2012-01-31 14:11:31
908	human	USC	ChipSeq	NT2-D1	antibody=H3K27me3B control=UCDavis	wgEncodeEH000908	2011-06-23 16:54:23
909	human	USC	ChipSeq	NT2-D1	antibody=H3K4me3B control=UCDavis	wgEncodeEH000909	2011-06-23 16:54:23
910	human	USC	ChipSeq	NT2-D1	antibody=H3K9acB control=UCDavis	wgEncodeEH000910	2011-06-23 16:54:23
911	human	USC	ChipSeq	K562	antibody=H3K4me1 control=UCDavis	wgEncodeEH000911	2011-07-06 15:21:12
912	human	USC	ChipSeq	K562	antibody=H3K27me3B control=UCDavis	wgEncodeEH000912	2011-07-06 15:21:12
913	human	USC	ChipSeq	K562	antibody=H3K4me3B control=UCDavis	wgEncodeEH000913	2011-07-06 15:21:12
914	human	USC	ChipSeq	K562	antibody=H3K9acB control=UCDavis	wgEncodeEH000914	2011-07-06 15:21:12
915	human	USC	ChipSeq	NT2-D1	antibody=H3K36me3B control=UCDavis	wgEncodeEH000915	2011-06-23 16:54:23
916	human	USC	ChipSeq	U2OS	antibody=Input control=UCDavis	wgEncodeEH000916	2011-06-23 16:54:23
917	human	USC	ChipSeq	NT2-D1	antibody=H3K4me1 control=UCDavis	wgEncodeEH000917	2011-06-23 16:54:23
918	human	USC	ChipSeq	NT2-D1	antibody=H3K9me3 control=UCDavis	wgEncodeEH000918	2011-06-23 16:54:23
919	human	USC	ChipSeq	U2OS	antibody=H3K9me3 control=UCDavis	wgEncodeEH000919	2011-06-23 16:54:23
920	human	USC	ChipSeq	U2OS	antibody=H3K36me3B control=UCDavis	wgEncodeEH000920	2011-06-23 16:54:24
921	human	Stanford	Nucleosome	K562	\N	wgEncodeEH000921	2011-06-20 11:52:15
922	human	Stanford	Nucleosome	GM12878	\N	wgEncodeEH000922	2011-06-20 11:52:15
923	human	UW	ChipSeq	H7-hESC	antibody=H3K27me3	wgEncodeEH000923	2011-05-13 10:50:18
924	human	UW	ChipSeq	H7-hESC	antibody=H3K36me3	wgEncodeEH000924	2011-05-13 10:50:18
925	human	UW	ChipSeq	H7-hESC	antibody=H3K4me3	wgEncodeEH000925	2011-05-13 10:50:18
926	human	UW	ChipSeq	H7-hESC	antibody=Input	wgEncodeEH000926	2011-05-13 10:50:18
927	human	UW	ChipSeq	AG04449	antibody=H3K4me3	wgEncodeEH000927	2011-05-13 10:50:18
928	human	UW	ChipSeq	AG04449	antibody=Input	wgEncodeEH000928	2011-05-13 10:50:18
929	human	UW	ChipSeq	AG04450	antibody=H3K4me3	wgEncodeEH000929	2011-05-13 10:50:18
930	human	UW	ChipSeq	AG04450	antibody=Input	wgEncodeEH000930	2011-05-13 10:50:18
931	human	UW	ChipSeq	AG09309	antibody=H3K4me3	wgEncodeEH000931	2011-05-13 10:50:18
932	human	UW	ChipSeq	AG09309	antibody=Input	wgEncodeEH000932	2011-05-13 10:50:18
933	human	UW	ChipSeq	AG09319	antibody=H3K4me3	wgEncodeEH000933	2011-05-13 10:50:18
934	human	UW	ChipSeq	AG09319	antibody=Input	wgEncodeEH000934	2011-05-13 10:50:18
935	human	UW	ChipSeq	AG10803	antibody=H3K4me3	wgEncodeEH000935	2011-05-13 10:50:18
936	human	UW	ChipSeq	AG10803	antibody=Input	wgEncodeEH000936	2011-05-13 10:50:18
937	human	UW	ChipSeq	AoAF	antibody=H3K4me3	wgEncodeEH000937	2011-05-13 10:50:18
938	human	UW	ChipSeq	AoAF	antibody=Input	wgEncodeEH000938	2011-05-13 10:50:18
939	human	UW	ChipSeq	HBMEC	antibody=H3K4me3	wgEncodeEH000939	2011-05-13 10:50:18
940	human	UW	ChipSeq	HBMEC	antibody=Input	wgEncodeEH000940	2011-05-13 10:50:18
941	human	UW	ChipSeq	HCF	antibody=H3K4me3	wgEncodeEH000941	2011-05-13 10:50:18
942	human	UW	ChipSeq	HCF	antibody=Input	wgEncodeEH000942	2011-05-13 10:50:18
943	human	UW	ChipSeq	HCFaa	antibody=H3K4me3	wgEncodeEH000943	2011-05-13 10:50:18
944	human	UW	ChipSeq	HCFaa	antibody=Input	wgEncodeEH000944	2011-05-13 10:50:18
945	human	UW	ChipSeq	HCM	antibody=H3K4me3	wgEncodeEH000945	2011-05-13 10:50:18
946	human	UW	ChipSeq	HCM	antibody=Input	wgEncodeEH000946	2011-05-13 10:50:18
947	human	UW	ChipSeq	HCPEpiC	antibody=H3K4me3	wgEncodeEH000947	2011-05-13 10:50:18
948	human	UW	ChipSeq	HCPEpiC	antibody=Input	wgEncodeEH000948	2011-05-13 10:50:18
949	human	UW	ChipSeq	HCT-116	antibody=H3K4me3	wgEncodeEH000949	2011-05-13 10:50:18
950	human	UW	ChipSeq	HCT-116	antibody=Input	wgEncodeEH000950	2011-05-13 10:50:18
951	human	UW	ChipSeq	HEEpiC	antibody=H3K4me3	wgEncodeEH000951	2011-05-13 10:50:18
952	human	UW	ChipSeq	HEEpiC	antibody=Input	wgEncodeEH000952	2011-05-13 10:50:18
953	human	UW	ChipSeq	HEK293	antibody=H3K4me3	wgEncodeEH000953	2011-05-13 10:50:18
954	human	UW	ChipSeq	HMEC	antibody=H3K4me3	wgEncodeEH000954	2011-05-13 10:50:18
955	human	UW	ChipSeq	HMF	antibody=H3K4me3	wgEncodeEH000955	2011-05-13 10:50:18
956	human	UW	ChipSeq	HMF	antibody=Input	wgEncodeEH000956	2011-05-13 10:50:18
957	human	UW	ChipSeq	HPAF	antibody=H3K4me3	wgEncodeEH000957	2011-05-13 10:50:18
958	human	UW	ChipSeq	HPAF	antibody=Input	wgEncodeEH000958	2011-05-13 10:50:18
959	human	UW	ChipSeq	HPF	antibody=H3K4me3	wgEncodeEH000959	2011-05-13 10:50:18
960	human	UW	ChipSeq	HPF	antibody=Input	wgEncodeEH000960	2011-05-13 10:50:18
961	human	UW	ChipSeq	HRPEpiC	antibody=H3K4me3	wgEncodeEH000961	2011-05-13 10:50:18
962	human	UW	ChipSeq	HRPEpiC	antibody=Input	wgEncodeEH000962	2011-05-13 10:50:18
963	human	UW	ChipSeq	HVMF	antibody=H3K4me3	wgEncodeEH000963	2011-05-13 10:50:18
964	human	UW	ChipSeq	HVMF	antibody=Input	wgEncodeEH000964	2011-05-13 10:50:18
965	human	UW	ChipSeq	Jurkat	antibody=H3K4me3	wgEncodeEH000965	2011-05-13 10:50:19
966	human	UW	ChipSeq	Jurkat	antibody=Input	wgEncodeEH000966	2011-05-13 10:50:19
967	human	UW	ChipSeq	MCF-7	antibody=H3K4me3	wgEncodeEH000967	2011-05-13 10:50:19
968	human	UW	ChipSeq	MCF-7	antibody=Input	wgEncodeEH000968	2011-05-13 10:50:19
969	human	UW	ChipSeq	NB4	antibody=H3K4me3	wgEncodeEH000969	2011-05-13 10:50:19
970	human	UW	ChipSeq	NB4	antibody=Input	wgEncodeEH000970	2011-05-13 10:50:19
971	human	UW	ChipSeq	NHDF-neo	antibody=H3K4me3	wgEncodeEH000971	2011-05-13 10:50:19
972	human	UW	ChipSeq	NHDF-neo	antibody=Input	wgEncodeEH000972	2011-05-13 10:50:19
973	human	UW	ChipSeq	HA-sp	antibody=H3K4me3	wgEncodeEH000973	2011-05-13 10:50:18
974	human	UW	ChipSeq	HA-sp	antibody=Input	wgEncodeEH000974	2011-05-13 10:50:18
975	human	UW	ChipSeq	AG04449	antibody=CTCF	wgEncodeEH000975	2011-05-13 10:50:21
976	human	UW	ChipSeq	AG04450	antibody=CTCF	wgEncodeEH000976	2011-05-13 10:50:21
977	human	UW	ChipSeq	AG09309	antibody=CTCF	wgEncodeEH000977	2011-05-13 10:50:21
978	human	UW	ChipSeq	AG09319	antibody=CTCF	wgEncodeEH000978	2011-05-13 10:50:21
979	human	UW	ChipSeq	AG10803	antibody=CTCF	wgEncodeEH000979	2011-05-13 10:50:21
980	human	UW	ChipSeq	AoAF	antibody=CTCF	wgEncodeEH000980	2011-05-13 10:50:21
981	human	UW	ChipSeq	HBMEC	antibody=CTCF	wgEncodeEH000981	2011-05-13 10:50:21
982	human	UW	ChipSeq	HCFaa	antibody=CTCF	wgEncodeEH000982	2011-05-13 10:50:21
983	human	UW	ChipSeq	HCPEpiC	antibody=CTCF	wgEncodeEH000983	2011-05-13 10:50:21
984	human	UW	ChipSeq	HEEpiC	antibody=CTCF	wgEncodeEH000984	2011-05-13 10:50:21
985	human	UW	ChipSeq	HMF	antibody=CTCF	wgEncodeEH000985	2011-05-13 10:50:21
986	human	UW	ChipSeq	HPAF	antibody=CTCF	wgEncodeEH000986	2011-05-13 10:50:21
987	human	UW	ChipSeq	HPF	antibody=CTCF	wgEncodeEH000987	2011-05-13 10:50:21
988	human	UW	ChipSeq	HRPEpiC	antibody=CTCF	wgEncodeEH000988	2011-05-13 10:50:21
989	human	UW	ChipSeq	HA-sp	antibody=CTCF	wgEncodeEH000989	2011-05-13 10:50:21
1338	human	HudsonAlpha	MethylRrbs	GM19240	\N	wgEncodeEH001338	2011-05-16 14:27:39
1337	human	HudsonAlpha	MethylRrbs	GM19239	\N	wgEncodeEH001337	2011-05-16 14:27:39
1336	human	HudsonAlpha	MethylRrbs	Fibrobl	\N	wgEncodeEH001336	2011-05-16 14:27:39
1335	human	HudsonAlpha	MethylRrbs	CMK	\N	wgEncodeEH001335	2011-05-16 14:27:39
1334	human	HudsonAlpha	MethylRrbs	AG10803	\N	wgEncodeEH001334	2011-05-16 14:27:39
1333	human	HudsonAlpha	MethylRrbs	AG09319	\N	wgEncodeEH001333	2011-05-16 14:27:39
1332	human	HudsonAlpha	MethylRrbs	AG09309	\N	wgEncodeEH001332	2011-05-16 14:27:39
997	human	Broad	ChipSeq	H1-hESC	antibody=H3K27ac	wgEncodeEH000997	2011-04-20 08:44:59
998	human	Broad	ChipSeq	HSMM	antibody=H3K79me2	wgEncodeEH000998	2011-04-20 08:44:59
999	human	Broad	ChipSeq	HSMM	antibody=H3K9me3	wgEncodeEH000999	2011-04-20 08:44:59
1000	human	Broad	ChipSeq	HSMMtube	antibody=CTCF	wgEncodeEH001000	2011-04-20 08:44:59
1001	human	Broad	ChipSeq	HSMMtube	antibody=Input	wgEncodeEH001001	2011-04-25 15:30:12
1002	human	Broad	ChipSeq	HSMMtube	antibody=H2A.Z	wgEncodeEH001002	2011-04-20 08:44:59
1003	human	Broad	ChipSeq	HSMMtube	antibody=H3K27ac	wgEncodeEH001003	2011-04-20 08:44:59
1004	human	Broad	ChipSeq	HSMMtube	antibody=H3K36me3	wgEncodeEH001004	2011-04-20 08:44:59
1005	human	Broad	ChipSeq	HSMMtube	antibody=H3K4me1	wgEncodeEH001005	2011-04-20 08:44:59
1006	human	Broad	ChipSeq	HSMMtube	antibody=H3K4me2	wgEncodeEH001006	2011-04-20 08:44:59
1007	human	Broad	ChipSeq	HSMMtube	antibody=H3K4me3	wgEncodeEH001007	2011-04-20 08:44:59
1008	human	Broad	ChipSeq	HSMMtube	antibody=H3K79me2	wgEncodeEH001008	2011-04-20 08:44:59
1009	human	Broad	ChipSeq	HSMMtube	antibody=H3K9ac	wgEncodeEH001009	2011-04-20 08:44:59
1010	human	Broad	ChipSeq	HSMMtube	antibody=H4K20me1	wgEncodeEH001010	2011-04-20 08:44:59
1331	human	HudsonAlpha	MethylRrbs	AG04450	\N	wgEncodeEH001331	2011-05-16 14:27:39
1012	human	Broad	ChipSeq	HeLa-S3	antibody=CTCF	wgEncodeEH001012	2011-04-20 08:44:59
1013	human	Broad	ChipSeq	HeLa-S3	antibody=Input	wgEncodeEH001013	2011-04-25 15:19:25
1014	human	Broad	ChipSeq	HeLa-S3	antibody=H3K27ac	wgEncodeEH001014	2011-04-20 08:44:59
1015	human	Broad	ChipSeq	HeLa-S3	antibody=H3K36me3	wgEncodeEH001015	2011-04-20 08:44:59
1016	human	Broad	ChipSeq	HeLa-S3	antibody=H3K4me2	wgEncodeEH001016	2011-04-20 08:44:59
1017	human	Broad	ChipSeq	HeLa-S3	antibody=H3K4me3	wgEncodeEH001017	2011-04-20 08:44:59
1018	human	Broad	ChipSeq	HeLa-S3	antibody=H3K79me2	wgEncodeEH001018	2011-04-20 08:44:59
1019	human	Broad	ChipSeq	HeLa-S3	antibody=H3K9ac	wgEncodeEH001019	2011-04-20 08:44:59
1020	human	Broad	ChipSeq	HeLa-S3	antibody=H4K20me1	wgEncodeEH001020	2011-04-20 08:44:59
1021	human	Broad	ChipSeq	HeLa-S3	antibody=Pol2(b)	wgEncodeEH001021	2011-04-20 08:44:59
1022	human	Broad	ChipSeq	HepG2	antibody=H2A.Z	wgEncodeEH001022	2011-04-20 08:44:59
1023	human	Broad	ChipSeq	HepG2	antibody=H3K27me3	wgEncodeEH001023	2011-04-20 08:44:59
1024	human	Broad	ChipSeq	HepG2	antibody=H3K79me2	wgEncodeEH001024	2011-04-20 08:44:59
1330	human	HudsonAlpha	MethylRrbs	AG04449	\N	wgEncodeEH001330	2011-05-16 14:27:39
1026	human	Broad	ChipSeq	NH-A	antibody=CTCF	wgEncodeEH001026	2011-04-20 08:44:59
1027	human	Broad	ChipSeq	NH-A	antibody=Input	wgEncodeEH001027	2011-04-25 15:19:25
1028	human	Broad	ChipSeq	NH-A	antibody=H3K27ac	wgEncodeEH001028	2011-04-20 08:44:59
1029	human	Broad	ChipSeq	NH-A	antibody=H3K27me3	wgEncodeEH001029	2011-04-20 08:44:59
1030	human	Broad	ChipSeq	NH-A	antibody=H3K36me3	wgEncodeEH001030	2011-04-20 08:44:59
1031	human	Broad	ChipSeq	NH-A	antibody=H3K4me1	wgEncodeEH001031	2011-04-20 08:44:59
1032	human	Broad	ChipSeq	NH-A	antibody=H3K4me3	wgEncodeEH001032	2011-04-20 08:44:59
1033	human	Broad	ChipSeq	GM12878	antibody=H2A.Z	wgEncodeEH001033	2011-04-20 08:44:59
1034	human	Broad	ChipSeq	GM12878	antibody=H3K79me2	wgEncodeEH001034	2011-04-20 08:44:59
1035	human	Broad	ChipSeq	GM12878	antibody=H3K9me3	wgEncodeEH001035	2011-04-20 08:44:59
1036	human	Broad	ChipSeq	HSMM	antibody=H2A.Z	wgEncodeEH001036	2011-04-20 08:44:59
1037	human	Broad	ChipSeq	HeLa-S3	antibody=H3K27me3	wgEncodeEH001037	2011-04-20 08:44:59
1038	human	Broad	ChipSeq	K562	antibody=H2A.Z	wgEncodeEH001038	2011-04-20 08:44:59
1039	human	Broad	ChipSeq	K562	antibody=H3K79me2	wgEncodeEH001039	2011-04-20 08:44:59
1040	human	Broad	ChipSeq	K562	antibody=H3K9me3	wgEncodeEH001040	2011-04-20 08:44:59
1041	human	Broad	ChipSeq	Osteobl	antibody=CTCF	wgEncodeEH001041	2011-04-20 08:44:59
1042	human	Broad	ChipSeq	Osteobl	antibody=H2A.Z	wgEncodeEH001042	2011-04-20 08:44:59
1043	human	Broad	ChipSeq	Osteobl	antibody=H3K27ac	wgEncodeEH001043	2011-04-20 08:44:59
1044	human	Broad	ChipSeq	Osteobl	antibody=H3K36me3	wgEncodeEH001044	2011-04-20 08:44:59
1045	human	Broad	ChipSeq	Osteobl	antibody=H3K4me1	wgEncodeEH001045	2011-04-20 08:44:59
1046	human	Broad	ChipSeq	Osteobl	antibody=H3K4me2	wgEncodeEH001046	2011-04-20 08:44:59
1047	human	Broad	ChipSeq	Osteobl	antibody=H3K9me3	wgEncodeEH001047	2011-04-20 08:44:59
1048	human	Broad	ChipSeq	NHDF-Ad	antibody=CTCF	wgEncodeEH001048	2011-04-20 08:44:59
1049	human	Broad	ChipSeq	NHDF-Ad	antibody=H3K27ac	wgEncodeEH001049	2011-04-20 08:44:59
1050	human	Broad	ChipSeq	NHDF-Ad	antibody=H3K27me3	wgEncodeEH001050	2011-04-20 08:44:59
1051	human	Broad	ChipSeq	NHDF-Ad	antibody=H3K36me3	wgEncodeEH001051	2011-04-20 08:44:59
1052	human	Broad	ChipSeq	NHDF-Ad	antibody=H3K4me2	wgEncodeEH001052	2011-04-20 08:44:59
1053	human	Broad	ChipSeq	NHDF-Ad	antibody=H3K4me3	wgEncodeEH001053	2011-04-20 08:44:59
1054	human	Broad	ChipSeq	NHDF-Ad	antibody=H3K9ac	wgEncodeEH001054	2011-04-20 08:44:59
1055	human	Broad	ChipSeq	NHDF-Ad	antibody=Input	wgEncodeEH001055	2011-04-25 15:19:25
1056	human	Broad	ChipSeq	Osteobl	antibody=Input	wgEncodeEH001056	2011-04-25 15:19:25
1057	human	Duke	AffyExonArray	8988T	\N	wgEncodeEH001057	2011-05-02 12:43:26
1058	human	Duke	AffyExonArray	AoSMC	treatment=serum_free_media	wgEncodeEH001058	2011-05-02 12:43:26
1059	human	Duke	AffyExonArray	AoSMC	\N	wgEncodeEH001059	2011-05-02 12:43:26
1060	human	Duke	AffyExonArray	AoSMC	treatment=TGFb	wgEncodeEH001060	2011-05-02 12:43:26
1061	human	Duke	AffyExonArray	CLL	\N	wgEncodeEH001061	2011-05-02 12:43:26
1062	human	Duke	AffyExonArray	FibroP	\N	wgEncodeEH001062	2011-05-02 12:43:26
1063	human	Duke	AffyExonArray	H1-hESC	\N	wgEncodeEH001063	2011-05-02 12:43:26
1064	human	Duke	AffyExonArray	H9ES	\N	wgEncodeEH001064	2011-05-02 12:43:26
1065	human	Duke	AffyExonArray	HPDE6-E6E7	\N	wgEncodeEH001065	2011-05-02 12:43:26
1066	human	Duke	AffyExonArray	HSMM	\N	wgEncodeEH001066	2011-05-02 12:43:26
1067	human	Duke	AffyExonArray	HSMMtube	\N	wgEncodeEH001067	2011-05-02 12:43:26
1068	human	Duke	AffyExonArray	HTR8svn	\N	wgEncodeEH001068	2011-05-02 12:43:26
1069	human	Duke	AffyExonArray	Hepatocytes	\N	wgEncodeEH001069	2011-05-02 12:43:26
1070	human	Duke	AffyExonArray	Huh-7	\N	wgEncodeEH001070	2011-05-02 12:43:26
1071	human	Duke	AffyExonArray	Huh-7.5	\N	wgEncodeEH001071	2011-05-02 12:43:26
1072	human	Duke	AffyExonArray	K562	\N	wgEncodeEH001072	2011-05-02 12:43:26
1073	human	Duke	AffyExonArray	Melano	\N	wgEncodeEH001073	2011-05-02 12:43:26
1074	human	Duke	AffyExonArray	Myometr	\N	wgEncodeEH001074	2011-05-02 12:43:26
1075	human	Duke	AffyExonArray	Stellate	\N	wgEncodeEH001075	2011-05-02 12:43:26
1076	human	Duke	AffyExonArray	Urothelia	\N	wgEncodeEH001076	2011-05-02 12:43:26
1077	human	Duke	AffyExonArray	Urothelia	treatment=UT189	wgEncodeEH001077	2011-05-02 12:43:26
1078	human	Duke	AffyExonArray	iPS	\N	wgEncodeEH001078	2011-05-02 12:43:26
1079	human	CSHL	RnaSeq	BJ	localization=cell protocol=TAP-Only rnaExtract=shortTotal	wgEncodeEH001079	2012-02-07 11:07:55
1080	human	CSHL	RnaSeq	HUVEC	localization=nucleus protocol=TAP-Only rnaExtract=shortTotal	wgEncodeEH001080	2012-02-07 11:07:55
1081	human	CSHL	RnaSeq	AG04450	localization=cell protocol=TAP-Only rnaExtract=shortTotal	wgEncodeEH001081	2012-02-07 11:07:55
1082	human	CSHL	RnaSeq	H1-hESC	localization=cell protocol=TAP-Only rnaExtract=shortTotal	wgEncodeEH001082	2012-02-07 11:07:55
1083	human	CSHL	RnaSeq	H1-hESC	localization=cytosol protocol=TAP-Only rnaExtract=shortTotal	wgEncodeEH001083	2012-02-07 11:07:55
1084	human	CSHL	RnaSeq	H1-hESC	localization=nucleus protocol=TAP-Only rnaExtract=shortTotal	wgEncodeEH001084	2012-02-07 11:07:55
1085	human	CSHL	RnaSeq	HUVEC	localization=cell protocol=TAP-Only rnaExtract=shortTotal	wgEncodeEH001085	2012-02-07 11:07:55
1086	human	CSHL	RnaSeq	HUVEC	localization=cytosol protocol=TAP-Only rnaExtract=shortTotal	wgEncodeEH001086	2012-02-07 11:07:55
1087	human	CSHL	RnaSeq	HeLa-S3	localization=cytosol protocol=TAP-Only rnaExtract=shortTotal	wgEncodeEH001087	2012-02-07 11:07:55
1088	human	CSHL	RnaSeq	HeLa-S3	localization=nucleus protocol=TAP-Only rnaExtract=shortTotal	wgEncodeEH001088	2012-02-07 11:07:55
1089	human	CSHL	RnaSeq	HeLa-S3	localization=cell protocol=TAP-Only rnaExtract=shortTotal	wgEncodeEH001089	2012-02-07 11:07:55
1090	human	CSHL	RnaSeq	MCF-7	localization=cell protocol=TAP-Only rnaExtract=shortTotal	wgEncodeEH001090	2012-02-07 11:07:55
1091	human	CSHL	RnaSeq	NHEK	localization=cell protocol=TAP-Only rnaExtract=shortTotal	wgEncodeEH001091	2012-02-07 11:07:55
1092	human	CSHL	RnaSeq	NHEK	localization=cytosol protocol=TAP-Only rnaExtract=shortTotal	wgEncodeEH001092	2012-02-07 11:07:55
1093	human	CSHL	RnaSeq	NHEK	localization=nucleus protocol=TAP-Only rnaExtract=shortTotal	wgEncodeEH001093	2012-02-07 11:07:55
1094	human	CSHL	RnaSeq	SK-N-SH_RA	localization=cell protocol=TAP-Only rnaExtract=shortTotal	wgEncodeEH001094	2012-02-07 11:07:55
1095	human	Duke	DnaseSeq	A549	\N	wgEncodeEH001095	2011-04-20 10:27:29
1096	human	Duke	DnaseSeq	LNCaP	treatment=androgen	wgEncodeEH001096	2011-04-20 10:27:29
1097	human	Duke	DnaseSeq	LNCaP	\N	wgEncodeEH001097	2011-04-20 10:27:29
1098	human	Duke	DnaseSeq	Osteobl	\N	wgEncodeEH001098	2011-04-20 10:27:29
1099	human	Duke	DnaseSeq	pHTE	\N	wgEncodeEH001099	2011-04-20 10:27:29
1100	human	Duke	DnaseSeq	Gliobla	\N	wgEncodeEH001100	2011-04-20 10:27:29
1101	human	Duke	DnaseSeq	HMEC	\N	wgEncodeEH001101	2011-04-20 10:27:29
1102	human	Duke	DnaseSeq	PanIsletD	\N	wgEncodeEH001102	2011-04-20 10:27:29
1103	human	Duke	DnaseSeq	8988T	\N	wgEncodeEH001103	2011-04-20 10:27:29
1104	human	Duke	DnaseSeq	CLL	\N	wgEncodeEH001104	2011-04-20 10:27:29
1105	human	Duke	DnaseSeq	HTR8svn	\N	wgEncodeEH001105	2011-04-20 10:27:29
1106	human	Duke	DnaseSeq	HPDE6-E6E7	\N	wgEncodeEH001106	2011-04-20 10:27:29
1107	human	Duke	DnaseSeq	Hepatocytes	\N	wgEncodeEH001107	2011-04-20 10:27:29
1108	human	Duke	DnaseSeq	Stellate	\N	wgEncodeEH001108	2011-04-20 10:27:29
1109	human	Duke	DnaseSeq	T-47D	\N	wgEncodeEH001109	2011-04-20 10:27:29
1110	human	Duke	DnaseSeq	iPS	\N	wgEncodeEH001110	2011-04-20 10:27:29
1111	human	Duke	DnaseSeq	Huh-7	\N	wgEncodeEH001111	2011-04-20 10:27:29
1112	human	Duke	DnaseSeq	Huh-7.5	\N	wgEncodeEH001112	2011-04-20 10:27:29
1113	human	Duke	DnaseSeq	Urothelia	\N	wgEncodeEH001113	2011-04-20 10:27:29
1114	human	Duke	DnaseSeq	Urothelia	treatment=UT189	wgEncodeEH001114	2011-04-20 10:27:29
1115	human	UNC	FaireSeq	Astrocy	\N	wgEncodeEH001115	2011-04-20 10:29:58
1116	human	UNC	FaireSeq	GM12891	\N	wgEncodeEH001116	2011-04-20 10:29:58
1117	human	UNC	FaireSeq	GM12892	\N	wgEncodeEH001117	2011-04-20 10:29:58
1118	human	UNC	FaireSeq	Medullo	\N	wgEncodeEH001118	2011-04-20 10:29:58
1119	human	UNC	FaireSeq	Gliobla	\N	wgEncodeEH001119	2011-04-20 10:29:58
1120	human	UNC	FaireSeq	K562	treatment=NaBut	wgEncodeEH001120	2011-04-20 10:29:58
1121	human	UNC	FaireSeq	K562	treatment=OHUrea	wgEncodeEH001121	2011-04-20 10:29:58
1122	human	UNC	FaireSeq	Urothelia	\N	wgEncodeEH001122	2011-04-20 10:29:58
1123	human	UNC	FaireSeq	Urothelia	treatment=UT189	wgEncodeEH001123	2011-04-20 10:29:58
1124	human	UNC	FaireSeq	HTR8svn	\N	wgEncodeEH001124	2011-04-20 10:29:58
1125	human	UNC	FaireSeq	MCF-7	treatment=Hypoxia_LacAcid	wgEncodeEH001125	2011-04-20 10:29:58
1126	human	UNC	FaireSeq	A549	\N	wgEncodeEH001126	2011-04-20 10:29:58
1127	human	UT-A	ChipSeq	Fibrobl	antibody=CTCF	wgEncodeEH001127	2011-04-20 10:23:23
1128	human	UT-A	ChipSeq	Fibrobl	antibody=Input	wgEncodeEH001128	2011-04-20 10:23:23
